LabID,📚 Projects (collecting data),🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,Areas of study,Methods
ethosRennes,"MB1,MB1N","Université de Rennes 1,CNRS",France,Ethologie Animale et Humaine,Virginie Durier,Stéphanie Barbu,https://ethos.univ-rennes.fr/en,,
FAUWAVESLAB,,Florida Atlantic University,United States,WAVES Lab,Nancy Aaron Jones,Angela Bernardo,https://psy.fau.edu/waveslab/index.php,,
fb2ZAS,MB5,"Leibniz-Centre General Linguistics (ZAS),University of the Philippines Manila","Germany,Philippines",Language Development and Multilingualism,Rowena Garcia,Michael C. Valdez,https://www.leibniz-zas.de/en/research/research-areas/language-development-multilingualism,,
gaugGöttingen,"MB2,MB4,MB-ManyWebcams,MB5",University of Göttingen,Germany,Göttinger Kindsköpfe Lab,Hannes Rakoczy,"Isa Blomberg,Marina Proft,Anna Krämer",https://www.psych.uni-goettingen.de/de/development/goettinger-kindskoepfe,"Cognitive development,Social cognition","Eye-tracking (monitor),Online studies,Live interaction"
gertlabLancaster,"MB2,MB3,MB5",Lancaster University,United Kingdom,Lancaster Babylab: Developmental Cognitive Science lab,Gert Westermann,Xiaoyun Chen,https://wp.lancs.ac.uk/westermann-lab/,Cognitive development,Eye-tracking (monitor)
goldsmiths,,"""Goldsmiths, University of London""",United Kingdom,Goldsmiths InfantLab,Caspar Addyman,,https://sites.gold.ac.uk/infantlab/,,
hopkinsdev,"MB5,MB5N",Johns Hopkins University,United States,Kids in Developmental Science (KIDScience) at the Johns Hopkins University,"Shari Liu,Lisa Feigenson","Qiong Cao,Di Liu",https://kidscience.jhu.edu/,"Cognitive development,Individual differences,Language,Memory,Reasoning,Social development,Visual perception","Central looking time,""Reaching (e.g., choice task)"",Preferential looking,Online studies,Parent surveys,Manual search"
humandevlabUdG,MB5,Universitat de Girona,Spain,Human Development Lab,"Thomas Castelain,Laia Fibla",,https://www.udg.edu/en/depps/psicolab/recerca,"Bilingualism,Cognitive development,Language,Social cognition,Social development,Social learning","Cross-cultural,Eye-tracking (monitor),EEG,Species comparisons,""Reaching (e.g., choice task)"",Preferential looking,Parent surveys"
icclBC,MB1,Boston College,United States,Infant and Child Cognition Lab,Sara Cordes,Sophie Savelkouls,https://sites.bc.edu/sara-cordes/infant-and-child-cognition-lab-at-boston-college/,,
ICDCNorthwestern,"MB1,MB5",Northwestern University,United States,Infant and Child Development Center,Sandra Waxman,"Brooke Sprague,Yi Lin",https://childdevelopment.northwestern.edu/,,
ikidsUTSC,MB4,University of Toronto Scarborough,Canada,iKids Centre,"Laura K. Cirelli,Yang Wu","Tiffany Doan,Alexander Withers,Georgina Mariyadas,Ninthujah Suthaharan",https://www.facebook.com/UTSCiKids/,,
ILBCDLAB,"MB2,MB3-NIRS",University of Illinois at Urbana-Champaign,United States,Brain and Cognitive Development Lab,Daniel C. Hyde,,http://publish.illinois.edu/danielchyde/,,
ileap,MB1,Virginia Tech,United States,iLEAP Lab,Robin Panneton,,https://www.ileap-lab.com/,,
ilpUTD,MB5,University of Texas at Dallas,United States,Infant Learning Project,Melanie Spence,,,"Attention,Face perception,Memory,Language","Preferential looking,Headturn preference,Online studies,Central looking time"
incheslabUCI,MB2,"""University of California, Irvine""",United States,UCI INCHES Lab,Angela Lukowski,"Maya Brown-Hughston,Caleb Schlaupitz",https://alukowsk.wixsite.com/alukowsk,,
inchGothenburg,"MB-ManyWebcams,MB5",University of Gothenburg,Sweden,University of Gothenburg,"Karin Strid,Marek Meristo",,https://www.gu.se/en/psychology/the-infant-and-child-laboratory,"Individual differences,Social development,Fairness,Hearing loss","Eye-tracking (monitor),Live interaction,Preferential looking,Eye-tracking (mobile)"
infantcoglabLouisville,"MB1,MB1L",University of Louisville,United States,UofL Infant Cognition Lab,Cara Cashon,Nonah M. Olesen,https://louisville.edu/psychology/cashon/lab,,
infantcognitionlabCMU,MB5,Carnegie Mellon University,United States,Infant Cognition Lab,David Rakison,Ricky W.J. Choi,,"Causal perception,Causal reasoning,Conceptual development,Social development",Preferential looking
infantcogUBC,"MB1,MB1B,MB1L,MB3,MB4,MB5,MB5N,MB6",University of British Columbia,Canada,UBC Centre for Infant Cognition,J. Kiley Hamlin,"Francis Yuen,Rachelle Graham,Shain Poon",https://cic.psych.ubc.ca/,Social cognition,"EEG,Eye-tracking (monitor),""Reaching (e.g., choice task)"""
infantlanglabUTK,"MB1,MB1G,MB1L,MB-ManyWebcams,MB5","""University of Tennessee, Knoxville""",United States,Infant Language and Perceptual Learning Lab,Jessica F. Hay,"Rebecca Bauer,Daniela Santos Oliveira ,Taylor Shackelford,Sarah Marks,Yiqun Zhang",https://infantlanguagelab.utk.edu/,,
infantllMadison,"MB1,MB1T,MB5",University of Wisconsin–Madison,United States,UW-Madison Infant Learning Lab,Jenny R. Saffran,Martin Zettersten,https://infantlearning.waisman.wisc.edu/,"Autism,Developmental disorders,Language","Central looking time,Eye-tracking (monitor),Headturn preference,Preferential looking"
infantstudiesUBC,"MB1,MB1B,MB1L,MB3-NIRS",University of British Columbia,Canada,UBC Infant Studies Centre,Janet F. Werker,"Alexis K. Black,Xin Sun",https://infantstudies.psych.ubc.ca/,,
innovationASU,MB5,Arizona State University,United States,,Jessica E. Kosie,,,,
irlConcordia,"MB1,MB1B,MB1G,MB3,MB4,MB5",Concordia University,Canada,Concordia Infant Research Lab,Krista Byers-Heinlein,"Nicolás Alessandroni,Rachel Ka-Ying Tsui,Alexandra Laoun-Rubenstein,Hilary Killam,Meghan Mastroberardino,Madison Williams",http://infantresearch.ca/,"Language,Attention,Social development,Bilingualism,Cognitive development","Eye-tracking (monitor),Free-play interactions,Headturn preference,LENA,Online studies,Parent surveys"
islNotredame,MB1,University of Notre Dame,United States,Infant Studies Lab,Jill Lany,Abbie Thompson,,,
isplabMcgill,"MB1,MB1B",McGill University,Canada,McGill Infant Speech Perception Lab,Linda Polka,,https://www.polka.lab.mcgill.ca/,,
